Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,United Kingdom,Mansfield,England,GB3EE,,433.300000,DUP+,1.600000,FM,TONE,71.9Hz,YES,Approximate,53.200000,-1.200000,0:00
1,United Kingdom,Mansfield,England,GB3JR,,430.975000,DUP+,7.600000,FM,TONE,71.9Hz,YES,Approximate,53.080000,-1.360000,0:00
1,United Kingdom,Margate,England,GB3EK,,430.887500,DUP+,7.600000,FM,TONE,103.5Hz,YES,Approximate,51.380000,1.400000,0:00
1,United Kingdom,Markfield,England,GB3CF,,145.600000,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,52.690000,-1.280000,0:00
1,United Kingdom,Markfield,England,GB3CF  C,GB3CF  G,145.600000,DUP-,0.600000,DV,,,YES,Approximate,52.690000,-1.280000,0:00
1,United Kingdom,Markfield,England,GB3LE,,433.100000,DUP+,1.600000,FM,TONE,77.0Hz,YES,Approximate,52.690000,-1.280000,0:00
1,United Kingdom,Marlborough,England,GB7AE  B,GB7AE  G,439.425000,DUP-,9.000000,DV,,,YES,Approximate,51.420000,-1.760000,0:00
1,United Kingdom,Mere Wiltshire,England,GB3JB,,145.787500,DUP-,0.600000,FM,TONE,103.5Hz,YES,Approximate,51.100000,-2.190000,0:00
1,United Kingdom,Merthyr,Wales &,GB3MB,,433.375000,DUP+,1.600000,FM,TONE,94.8Hz,YES,Approximate,51.740000,-3.420000,0:00
1,United Kingdom,Milton Keynes,England,GB3MK,,433.000000,DUP+,1.600000,FM,TONE,77.0Hz,YES,Approximate,52.040000,-0.760000,0:00
1,United Kingdom,Milton Keynes,England,GB7BP  B,GB7BP  G,439.450000,DUP-,9.000000,DV,,,YES,Approximate,52.000000,-0.740000,0:00
1,United Kingdom,Monifieth,Scotland,GB7DM,,439.750000,DUP-,9.000000,FM,TONE,103.5Hz,YES,Approximate,56.480000,-2.840000,0:00
1,United Kingdom,Monifieth,Scotland,GB7DM  B,GB7DM  G,439.750000,DUP-,9.000000,DV,,,YES,Approximate,56.480000,-2.840000,0:00
1,United Kingdom,Morden,England,GB3XP,,145.687500,DUP-,0.600000,FM,TONE,82.5Hz,YES,Approximate,51.380000,-0.180000,0:00
1,United Kingdom,Motherwell,Scotland,GB3CS,,145.750000,DUP-,0.600000,FM,TONE,103.5Hz,YES,Approximate,55.800000,-4.000000,0:00
1,United Kingdom,Muir Of Ord,Scotland,GB3BI,,145.725000,DUP-,0.600000,FM,TONE,67.0Hz,YES,Approximate,57.510000,-4.540000,0:00
1,United Kingdom,Nairn,Scotland,GB7MM  B,GB7MM  G,439.750000,DUP-,9.000000,DV,,,YES,Approximate,57.580000,-3.900000,0:00
1,United Kingdom,Neston,England,GB7RA  B,GB7RA  G,439.650000,DUP-,9.000000,DV,,,YES,Approximate,53.300000,-3.060000,0:00
1,United Kingdom,New Ash Green,England,GB7AR  B,GB7AR  G,439.525000,DUP-,9.000000,DV,,,YES,Approximate,51.400000,0.300000,0:00
1,United Kingdom,Newbury,England,GB3AW,,433.250000,DUP+,1.600000,FM,TONE,71.9Hz,YES,Approximate,51.320000,-1.440000,0:00
1,United Kingdom,Newbury,England,GB3NE,,145.762500,DUP-,0.600000,FM,TONE,118.8Hz,YES,Approximate,51.380000,-1.350000,0:00
1,United Kingdom,Newbury,England,GB7NT,,430.925000,DUP+,7.600000,FM,TONE,118.8Hz,YES,Approximate,51.380000,-1.280000,0:00
1,United Kingdom,Newcastle Emlyn,Wales &,GB3CN,,145.687500,DUP-,0.600000,FM,TONE,94.8Hz,YES,Approximate,51.990000,-4.400000,0:00
1,United Kingdom,Newcastle Upon T,England,GB3NT,,433.000000,DUP+,1.600000,FM,TONE,118.8Hz,YES,Approximate,54.940000,-1.580000,0:00
1,United Kingdom,Newhaven,England,GB3EB,,145.787500,DUP-,0.600000,FM,TONE,88.5Hz,YES,Approximate,50.790000,0.440000,0:00
1,United Kingdom,Newhaven,England,GB3EB  C,GB3EB  G,145.787500,DUP-,0.600000,DV,,,YES,Approximate,50.790000,0.440000,0:00
1,United Kingdom,Newhaven,England,GB3LR,,430.862500,DUP+,7.600000,FM,TONE,88.5Hz,YES,Approximate,50.780000,0.050000,0:00
1,United Kingdom,Newton Stewart,Scotland,GB3DG,,145.775000,DUP-,0.600000,FM,TONE,103.5Hz,YES,Approximate,54.890000,-4.300000,0:00
1,United Kingdom,Newtown Powys,Wales &,GB3PW,,145.775000,DUP-,0.600000,FM,TONE,103.5Hz,YES,Approximate,52.480000,-3.400000,0:00
