"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","REG","Netw","Col","QTHR","NGR","WHERE","DMR","DSTAR","FUSION","NXDN",
GB7ND,70CM,DVU33,439.412500,430.412500,,CEN,DV Scotland Phoenix,1,JO02LM,TM0195,GREAT ELLINGHAM,Y,,,,
GB7NE,70CM,DVU36,439.450000,430.450000,,NOR,,3,IO95FE,NZ3087,ASHINGTON,Y,Y,Y,,
GB7NF,70CM,DVU39,439.487500,430.487500,,SE,BRANDMEISTER,1,JO00AS,TQ4401,NEWHAVEN,Y,,,,
GB7NH,70CM,DVU50,439.625000,430.625000,,SW,,,IO91OF,SU8650,ALDERSHOT,,,Y,,
GB7NI,70CM,RU79,430.987500,438.587500,77.0,CEN,,,IO92NG,SP7762,NORTHAMPTON,,,Y,,
GB7NL,70CM,DVU37,439.462500,430.462500,,SW,,,IO80FR,SX9393,EXETER,,Y,,,
GB7NM,2M,RV59,145.737500,145.137500,,CEN,,,JO02LM,TM0195,ATTLEBOURGH,,Y,Y,,
GB7NN,70CM,DVU60,439.750000,430.750000,,CEN,,,IO93,SK5879,WORKSOP,,,Y,,
GB7NQ,70CM,RU70,430.875000,438.475000,,WM,BRANDMEISTER,10,IO82TA,SO7438,LEDBURY,Y,,,,
GB7NR,70CM,DVU35,439.437500,430.437500,,CEN,FREESTAR,1,IO92KX,SK5943,NOTTINGHAM,Y,Y,,,
GB7NS,70CM,DVU13,439.162500,430.162500,,SE,DV Scotland Phoenix,3,IO91WG,TQ3254,CATERHAM,Y,,,,
GB7NT,70CM,RU74,430.925000,438.525000,118.8,SW,,,IO91IJ,SU4965,NEWBURY,,,Y,,
GB7NV,70CM,RU66,430.825000,438.425000,,CEN,freeDMR,1,IO93,SK5252,NOTTINGHAM,Y,Y,,,
GB7NW,70CM,DVU58,439.725000,430.725000,,SW,,,IO91DN,SU1886,SWINDON,,,Y,,
GB7NX,70CM,UR63,438.387500,430.787500,77,SW,,5,IO70,SS3807,NEAR HOLSWORTHY ,Y,Y,Y,,
GB7OK,2M,RV57,145.712500,145.112500,,SE,,3,IO91,TQ3668,BECKENHAM,Y,Y,Y,,
GB7OR,70CM,DVU37,439.462500,430.462500,,SCOT,BRANDMEISTER,1,IO88LX,HY4111,KIRKWALL,Y,,,,
GB7PA,70CM,DVU42,439.525000,430.525000,,SCOT,BRANDMEISTER,1, IO7,NS4664,PAISLEY,Y,,,,
GB7PB,2M,RV53,145.662500,145.062500,,NOR,,,IO94FR,NZ3037,DURHAM,,Y,,,
GB7PC,2M,RV48,145.600000,145.000000,,SW,SW CLUSTER,7,IO70IA,SW6619,MULLION,Y,,,,
GB7PD,2M,RV59,145.737500,145.137500,94.8,WM,,,IO71OV,SN0727,MAENCLOCHOG,,Y,Y,,
GB7PE,70CM,DVU40,439.500000,430.500000,,CEN,DV Scotland Phoenix,3,IO92TL,TL1289,PETERBOROUGH,Y,,,,
GB7PF,70CM,DVU51,439.637500,430.637500,,SW,SW CLUSTER,3,IO80AN,SX6276,PRINCETOWN,Y,,,,
GB7PH,70CM,DVU37,439.462500,430.462500,,SE,,3,JO00,TQ5909,HAILSHAM,Y,Y,,,
GB7PI,70CM,DVU61,439.762500,430.762500,,SE,,,IO92XA,TL3736,ROYSTON,,Y,,,
GB7PM,70CM,DVU35,439.437500,430.437500,,SW,,,IO81PH,ST4956,CHARTERHOUSE,,,Y,,
GB7PN,70CM,DVU34,439.425000,430.425000,,WM,DV Scotland Phoenix,1,IO83HH,SJ0781,PRESTATYN,Y,,,,
