"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","LOC","WHERE","ANALOG","DMR","DSTAR","FUSION",
GB3CM,70CM,RU69,430.862500,438.462500,94.8,IO71VW,CARMARTHEN,Y,,,Y,
GB3CN,2M,RV55,145.687500,145.087500,94.8,IO71TX,NEWCASTLE EMLYN,Y,,,,
GB3CO,2M,RV53,145.662500,145.062500,77.0,IO92PM,CORBY,Y,,,,
GB3CP,2M,RV59,145.737500,145.137500,110.9,IO64IG,FERMANAGH,Y,,,,
GB3CQ,10M,,29.620000,29.520000,88.5,IO90SU,WORTHING,Y,,,,
GB3CR,70CM,RB06,433.150000,434.750000,110.9,IO83LC,CAERGWRLE,Y,,,,
GB3CS,2M,RV60,145.750000,145.150000,103.5,IO85AU,MOTHERWELL,Y,,,,
GB3CV,70CM,RU65,430.812500,438.412500,67,IO92GK,COVENTRY,Y,,,,
GB3CW,70CM,RB04,433.100000,434.700000,103.5,IO82HL,NEWTOWN POWYS,Y,,,,
GB3CY,70CM,RU69,430.862500,438.462500,88.5,IO93KW,YORK,Y,,,,
GB3DA,2M,RV58,145.725000,145.125000,110.9,JO01GR,DANBURY,Y,,,Y,
GB3DB,6M,R50-06,50.770000,51.270000,110.9,JO01HR,DANBURY,Y,,,Y,
GB3DC,2M,RV55,145.687500,145.087500,71.9,IO92GW,DERBY,Y,,,,
GB3DD,70CM,RB10,433.250000,434.850000,94.8,IO86MM,DUNDEE,Y,,,Y,
GB3DE,70CM,RB07,433.175000,434.775000,110.9,JO02NF,IPSWICH,Y,,,,
GB3DG,2M,RV62,145.775000,145.175000,103.5,IO74UV,NEWTON STEWART,Y,,,Y,
GB3DI,70CM,RB06,433.150000,434.750000,118.8,IO91IN,DIDCOT,Y,,,,
GB3DM,70CM,RU74,430.925000,438.525000,103.5,IO75QX,DUMBARTON,Y,,,Y,
GB3DN,2M,RV51,145.637500,145.037500,77,IO70UW,STIBB CROSS,Y,,,,
GB3DP,70CM,RU69,430.862500,438.462500,88.5,IO92TR,BASTON,Y,,,,
GB3DQ,70CM,RU78,430.975000,438.575000,77,IO70RI,POLPERRO,Y,,,,
GB3DR,2M,RV59,145.737500,145.137500,,IO80SN,WEYMOUTH,Y,,,Y,
GB3DS,70CM,RB13,433.325000,434.925000,71.9,IO93KH,WORKSOP,Y,,,,
GB3DT,70CM,RB0,433.000000,434.600000,71.9,IO80WU,BLANDFORD,Y,,,Y,
GB3DU,2M,RV61,145.762500,145.162500,118.8,IO85SS,DUNS,Y,Y,Y,Y,
GB3DV,70CM,RB01,433.025000,434.625000,71.9,IO93JK,MALTBY,Y,,,,
GB3DW,2M,RV53,145.662500,145.062500,110.9,IO72WT,HARLECH,Y,,,Y,
GB3DX,70CM,RB12,433.300000,434.900000,110.9,IO65HA,DERRY/LONDONDERRY,Y,,,,
GB3DY,70CM,RB10,433.250000,434.850000,71.9,IO93FB,WIRKSWORTH,Y,Y,,,
GB3DZ,70CM,RU79,430.987500,438.587500,71.9,IO92HW,DERBY,Y,,,,
GB3EA,2M,RV55,145.687500,145.087500,110.9,JO02GE,WICKHAMBROOK,Y,,,,
GB3EB,2M,RV63,145.787500,145.187500,88.5,JO00AT,NEWHAVEN,Y,Y,Y,,
GB3ED,70CM,RB14,433.350000,434.950000,94.8,IO85JW,EDINBURGH,Y,,Y,,
GB3EE,70CM,RB12,433.300000,434.900000,71.9,IO93JD,MANSFIELD,Y,,,,
GB3EF,6M,R50-01,50.720000,51.220000,110.9,JO02NF,STOWMARKET,Y,,,,
GB3EG,70CM,RU73,430.912500,438.512500,82.5,IO83QN,WIGAN,Y,,,,
GB3EH,70CM,RU77,430.962500,438.562500,67,IO92GC,BANBURY,Y,,,,
GB3EI,2M,RV49,145.612500,145.012500,88.5,IO67IN,LOCHMADDY,Y,Y,Y,Y,
GB3EJ,23CM,RM04,1297.100000,1291.100000,77,JO02CD,CAMBRIDGE,Y,,,,
GB3EK,70CM,RU71,430.887500,438.487500,103.5,JO01QJ,MARGATE,Y,,,,
GB3EL,2M,RV48,145.600000,145.000000,82.5,JO01AM,LONDON,Y,,,,
GB3EM,2M,RV61,145.762500,145.162500,77.0,IO92LJ,COLD ASHBY,Y,,,,
GB3ER,70CM,RB03,433.075000,434.675000,110.9,JO01GR,DANBURY,Y,,,Y,
GB3ES,2M,RV54,145.675000,145.075000,103.5,JO00HV,HASTINGS,Y,,,,
GB3EU,70CM,UR67,438.437500,430.837500,77.0,IO92LJ,COLD ASHBY,Y,,,,
GB3EV,2M,RV56,145.700000,145.100000,77,IO84SQ,DUFTON,Y,,,,
GB3EW,2M,RV49,145.612500,145.012500,77,IO80FR,EXETER,Y,,,,
GB3EX,70CM,RU76,430.950000,438.550000,77,IO80GT,SILVERTON,Y,,,,
GB3EZ,70CM,RU78,430.975000,438.575000,110.9,JO02GE,WICKHAMBROOK,Y,,,,
GB3FC,70CM,RU68,430.850000,438.450000,82.5,IO83LU,BLACKPOOL,Y,,,,
GB3FE,2M,RV53,145.662500,145.062500,103.5,IO86BC,STIRLING,Y,,,,
GB3FF ,2M,RV48,145.600000,145.000000,103.5,IO86MU,UPPER LARGO,Y,,,,
GB3FG,2M,RV57,145.712500,145.112500,94.8,IO71UX,CARMARTHEN,Y,,,Y,
GB3FH,6M,R50-06,50.770000,51.270000,77,IO81OH,SOMERSET,Y,,,,
GB3FI,70CM,RU74,430.925000,438.525000,77,IO81OH,CHEDDAR,Y,,,,
GB3FJ,70CM,RU76,430.950000,438.550000,71.9,IO93XE,ASGARBY,Y,,,,
GB3FK,2M,RV60,145.750000,145.150000,103.5,JO01OC,FOLKESTONE,Y,,,Y,
GB3FM,23CM,RM2,1297.050000,1291.050000,100,IO91OF,FARNHAM,Y,,,,
GB3FN,70CM,RB15,433.375000,434.975000,82.5,IO91OF,FARNHAM,Y,,,,
GB3FR,2M,RV62,145.775000,145.175000,71.9,JO03AE,SPILSBY LINCS.,Y,,,,
GB3FU,2M,RV60,145.750000,145.150000,71.9,IO92JX,NOTTINGHAM,Y,,,,
GB3FV,70CM,RU65,430.812500,438.412500,88.5,IO86AC,STIRLING,Y,,,,
GB3FX,6M,R50-10,50.810000,51.310000,82.5,IO91OF,FARNHAM,Y,,,,
GB3GB,70CM,DMU27,439.337500,430.337500,67,IO92BM,SUTTON COLDFIELD,Y,,,,
GB3GC,6M,R50-02,50.730000,51.230000,77.0,IO70TL,LISKEARD,Y,,,,
