"repeater","band","channel","TX","RX","mode","QTHR","where","region","code","keeper","status",
GB3FG,2M,RV57,145.712500,145.112500,MULTI,IO71UX,CARMARTHEN,WM,94.8,GW8KCY,OPERATIONAL,
GB3FH,6M,R50-06,50.770000,51.270000,AV,IO81OH,SOMERSET,SW,77,G4RKY,OPERATIONAL,
GB3FI,70CM,RU74,430.925000,438.525000,AV,IO81OH,CHEDDAR,SW,77,G4RKY,OPERATIONAL,
GB3FJ,70CM,RU76,430.950000,438.550000,AV,IO93XE,ASGARBY,MIDL,71.9,G3ZPU,OPERATIONAL,
GB3FK,2M,RV60,145.750000,145.150000,MULTI,JO01OC,FOLKESTONE,SE,103.5,M1CMN,OPERATIONAL,
GB3FM,23CM,RM2,1297.050000,1291.050000,AV,IO91OF,FARNHAM,SW,100,G4EPX,REDUCED OUTPUT,
GB3FN,70CM,RB15,433.375000,434.975000,AV,IO91OF,FARNHAM,SW,82.5,G4EPX,OPERATIONAL,
GB3FR,2M,RV62,145.775000,145.175000,AV,JO03AE,SPILSBY LINCS.,MIDL,71.9,M1FJB,OPERATIONAL,
GB3FU,2M,RV60,145.750000,145.150000,AV,IO92JX,NOTTINGHAM,MIDL,71.9,M5ADU,REDUCED OUTPUT,
GB3FV,70CM,RU65,430.812500,438.412500,AV,IO86AC,STIRLING,SCOT,88.5,GM0WUR,OPERATIONAL,
GB3FX,6M,R50-10,50.810000,51.310000,AV,IO91OF,FARNHAM,SW,82.5,G4EPX,OPERATIONAL,
GB3GB,70CM,DMU27,439.337500,430.337500,AV,IO92BM,SUTTON COLDFIELD,MIDL,67,G8NDT,NOT OPERATIONAL,
GB3GC,6M,R50-02,50.730000,51.230000,AV,IO70TL,LISKEARD,SW,77.0,M0WMB,OPERATIONAL,
GB3GD,2M,RV50,145.625000,145.025000,AV,IO74SG,SNAEFELL IOM,NOR,110.9,GD4HOZ,OPERATIONAL,
GB3GF,70CM,RB12,433.300000,434.900000,AV,IO91RF,GUILDFORD,SE,88.5,G4EML,OPERATIONAL,
GB3GH,70CM,RB05,433.125000,434.725000,AV,IO81VU,GLOUCESTER,SW,118.8,G3LVP,OPERATIONAL,
GB3GJ,2M,RV51,145.637500,145.037500,MULTI,IN89WE,ST HELIER,SW,71.9,GJ8PVL,OPERATIONAL,
GB3GL,70CM,RU72,430.900000,438.500000,MULTI,IO75WU,GLASGOW,SCOT,103.5,GM3SAN,OPERATIONAL,
GB3GN,2M,RV62,145.775000,145.175000,AV,IO87TA,BANCHORY,SCOT,67,GM4ZUK,OPERATIONAL,
GB3GO,2M,RV63,145.787500,145.187500,MULTI,IO83BH,LLANDUDNO,WM,110.9,M0BUQ,OPERATIONAL,
GB3GR,70CM,RU68,430.850000,438.450000,AV,IO92QV,GRANTHAM,MIDL,71.9,G0OJF,OPERATIONAL,
GB3GU,70CM,RB13,433.325000,434.925000,AV,IN89RK,GUERNSEY,SW,71.9,GU6EFB,OPERATIONAL,
GB3GY,70CM,RB11,433.275000,434.875000,AV,IO93XN,CLEETHORPES,MIDL,88.5,M0KWK,OPERATIONAL,
GB3HA,2M,RV60,145.750000,145.150000,MULTI,IO85XA,CORBRIDGE,NOR,118.8,M0TKF,OPERATIONAL,
GB3HB,70CM,RB15,433.375000,434.975000,MULTI,IO70OJ,ROCHE,SW,77,G4WVD,OPERATIONAL,
GB3HC,70CM,RB06,433.150000,434.750000,MULTI,IO82PB,HEREFORD,WM,118.8,G0JWJ,OPERATIONAL,
GB3HD,70CM,RB09,433.225000,434.825000,MULTI,IO93BP,HUDDERSFIELD,NOR,82.5,G0ISX,OPERATIONAL,
GB3HE,70CM,RU74,430.925000,438.525000,MULTI,JO00HV,HASTINGS,SE,103.5,G3TCG,OPERATIONAL,
GB3HF,10M,10M,29.690000,29.590000,AV,IO82KW,LLANGOLLEN,WM,103.5,GW0NIS,NOT OPERATIONAL,
GB3HG,2M,RV50,145.625000,145.025000,MULTI,IO94JF,THIRSK,NOR,88.5,G8IMZ,OPERATIONAL,
