"callsign","band","channel","TX","RX","mode","QTHR","where","postcode","region","code","keeper","lat","lon",
GB3ML,70CM,RU73,430.912500,438.512500,MULTI,IO91RK,STAINES UPON THAMES,TW18,SE,3,M0TIG,51.43,-0.51,
GB3MM,23CM,RM06,1297.150000,1291.150000,AV,IO82XP,WOLVERHAMPTON,WV11,MIDL,67,G8NDT,52.63,-2.08,
GB3MN,2M,RV52,145.650000,145.050000,MULTI,IO83XH,DISLEY,SK12,NOR,82.5,G8LZO,53.33,-2.04,
GB3MR,70CM,RB14,433.350000,434.950000,AV,IO83XH,STOCKPORT,SK12,NOR,82.5,G8LZO,53.33,-2.04,
GB3MT,70CM,RU72,430.900000,438.500000,AV,IO64QS,MAGHERAFELT,BT45,NI,110.9,MI0GRN,54.75,-6.60,
GB3MW,70CM,RB10,433.250000,434.850000,AV,IO92FH,LEAMINGTON SPA,CV32,MIDL,67,G6FEO,52.30,-1.51,
GB3MY,70CM,RB11,433.275000,434.875000,MULTI,IO83SM,ATHERTON,M46,NOR,82.5,G4YYB,53.53,-2.50,
GB3NA,2M,RV49,145.612500,145.012500,MULTI,IO93HN,BARNSLEY,S72,NOR,71.9,G4LUE,53.57,-1.40,
GB3NB,2M,RV50,145.625000,145.025000,AV,JO02PN,NORWICH,NR14,SE,94.8,G8VLL,52.57,1.33,
GB3NC,2M,RV58,145.725000,145.125000,MULTI,IO70OJ,ROCHE,PL26,SW,77.0,G4WVD,50.38,-4.83,
GB3NE,2M,RV61,145.762500,145.162500,AV,IO91HJ,NEWBURY,RG14,SW,118.8,G6IBI,51.38,-1.35,
GB3NF,2M,RV50,145.625000,145.025000,AV,IO92KX,NOTTINGHAM,NG3,MIDL,77.0,M0VUB,53.00,-1.10,
GB3NG,2M,RV50,145.625000,145.025000,AV,IO87XO,FRASERBURGH,AB43,SCOT,67,GM4ZUK,57.60,-2.03,
GB3NH,70CM,RU76,430.950000,438.550000,AV,IO92NF,NORTHAMPTON,NN6,MIDL,77.0,G1IRG,52.24,-0.89,
GB3NI,2M,RV58,145.725000,145.125000,AV,IO74CO,BELFAST  N.I.,BT18,NI,110.9,MI1VOX,54.62,-5.82,
GB3NK,70CM,RB04,433.100000,434.700000,AV,JO01BL,ERITH,DA8,SE,103.5,G4EGU,51.47,0.16,
GB3NL,2M,RV62,145.775000,145.175000,AV,IO91XP,NORTH LONDON,EN1,SE,,G4DFB,51.65,-0.08,
GB3NM,70CM,RB07,433.175000,434.775000,AV,IO92KX,NOTTINGHAM,NG3,MIDL,71.9,M0VUB,53.00,-1.10,
GB3NN,70CM,RB02,433.050000,434.650000,AV,JO02JV,WELLS NORFOLK,NR22,SE,94.8,G0FVF,52.91,0.83,
GB3NO,23CM,RM0,1297.000000,1291.000000,AV,JO02PP,NORWICH,NR2,SE,94.8,G8VLL,52.63,1.28,
GB3NP,70CM,RU71,430.887500,438.487500,MULTI,IO92LD,TOWCESTER,NN12,MIDL,77.0,G1IRG,52.17,-1.03,
GB3NR,70CM,RB0,433.000000,434.600000,AV,JO02PP,NORWICH,NR2,SE,94.8,G8VLL,52.63,1.28,
GB3NS,70CM,DVU54,439.675000,430.675000,AV,IO91WG,CATERHAM,CR3,SE,82.5,G0OLX,51.27,-0.11,
GB3NT,70CM,RB0,433.000000,434.600000,MULTI,IO94FW,NEWCASTLE UPON TYNE,NE9,NOR,118.8,M0MNE,54.94,-1.58,
GB3NU,70CM,DMU26,439.325000,430.325000,MULTI,IO92KX,NOTTINGHAM,NG3,MIDL,71.9,M0VUB,53.00,-1.10,
GB3NW,2M,RV50,145.625000,145.025000,MULTI,IO82VE,WORCESTER,WR5,WM,67.0,G4IDF,52.19,-2.18,
GB3NX,70CM,RU68,430.850000,438.450000,AV,IO91WB,CRAWLEY SUSSEX,RH17,SE,88.5,G4EFO,51.08,-0.16,
GB3NY,70CM,RU67,430.837500,438.437500,MULTI,IO93RT,HULL,HU20,NOR,88.5,M0DPH,53.80,-0.56,
GB3NZ,2M,RV48,145.600000,145.000000,AV,JO02NN,WYMONDHAM,NR18,SE,94.8,M0ZAH,52.57,1.11,
GB3OA,2M,RV49,145.612500,145.012500,MULTI,IO83LP,SOUTHPORT,PR9,NOR,82.5,G4EID,53.65,-3.00,
GB3OC,2M,RV52,145.650000,145.050000,AV,IO88LX,KIRKWALL,KW15,SCOT,77,GM0HQG,58.99,-3.02,
GB3OH,70CM,RU76,430.950000,438.550000,MULTI,IO85EX,LINLITHGOW,EH49,SCOT,94.8,GM0MZB,56.00,-3.65,
GB3OM,70CM,RU76,430.950000,438.550000,MULTI,IO64JQ,OMAGH,BT79,NI,1,GI4SXV,54.67,-7.21,
GB3OR,70CM,RU67,430.837500,438.437500,MULTI,IO83BH,LLANDUDNO,LL30,WM,103.5,MW0JWP,53.33,-3.85,
GB3OV,70CM,RB05,433.125000,434.725000,AV,IO92VG,ST NEOTS,PE19,MIDL,94.8,G6OHM,52.27,-0.18,
GB3OY,70CM,RU76,430.950000,438.550000,AV,JO01AO,BUCKHURST HILL,IG9,SE,82.5,G7UZN,51.62,0.03,
GB3PA,2M,RV50,145.625000,145.025000,AV,IO75QV,PAISLEY,PA14,SCOT,103.5,GM7OAW,55.91,-4.59,
GB3PB,2M,RV50,145.625000,145.025000,AV,IO90AT,WIMBORNE,BH21,SW,71.9,G7ICH,50.81,-1.92,
GB3PD,70CM,RU68,430.850000,438.450000,MULTI,IO80SN,WEYMOUTH,DT5,SW,,G1ZSE,50.56,-2.43,
GB3PE,2M,RV54,145.675000,145.075000,AV,IO92TL,PETERBOROUGH,PE7,SE,94.8,M0ZPU,52.50,-0.35,
GB3PF,70CM,RB12,433.300000,434.900000,AV,IO83TR,ACCRINGTON,BB5,NOR,82.5,M0NFI,53.75,-2.37,
GB3PH,2M,RV48,145.600000,145.000000,AV,IO72SX,PWLLHELI,LL53,WM,88.5,MW0XTK,52.96,-4.45,
GB3PI,2M,RV60,145.750000,145.150000,AV,IO92XA,ROYSTON,SG8,SE,77,M0ZPU,52.01,-0.00,
GB3PK,2M,RV53,145.662500,145.062500,AV,IO65VE,BALLYCASTLE,BT54,NI,110.9,MI0CRR,55.19,-6.24,
GB3PL,2M,RV61,145.762500,145.162500,AV,IO80BH,BIGBURY,TQ7,SW,77.0,M0WMB,50.31,-3.88,
GB3PM,70CM,RU72,430.900000,438.500000,AV,IO93FK,SHEFFIELD,S6,NOR,71.9,M0HOY,53.40,-1.60,
GB3PN,70CM,RU76,430.950000,438.550000,AV,IO83PS,PRESTON,PR1,NOR,82.5,M0VXT,53.76,-2.69,
GB3PO,2M,RV52,145.650000,145.050000,AV,JO02OB,IPSWICH,IP4,SE,110.9,G7CIY,52.06,1.20,
GB3PP,70CM,RB15,433.375000,434.975000,MULTI,IO83QR,PRESTON,PR5,NOR,82.5,M0NED,53.70,-2.60,
GB3PR,2M,RV54,145.675000,145.075000,MULTI,IO86GI,PERTH,PH2,SCOT,94.8,GM8KPH,56.37,-3.46,
GB3PS,23CM,RM03,1297.075000,1291.075000,AV,IO92XA,ROYSTON,SG8,SE,77,M0ZPU,52.01,-0.00,
GB3PT,70CM,RU69,430.862500,438.462500,AV,IO83NL,PRESCOT,L34 ,NOR,94.8,M0NFI,53.50,-2.90,
GB3PU,70CM,RB0,433.000000,434.600000,MULTI,IO86GI,PERTH,PH2,SCOT,94.8,GM8KPH,56.37,-3.46,
GB3PW,2M,RV62,145.775000,145.175000,AV,IO82HL,NEWTOWN POWYS,SY16,WM,103.5,GW4IQP,52.48,-3.40,
GB3PX,6M,R50-07,50.780000,51.280000,AV,IO92XA,ROYSTON,SG8,SE,77,M0ZPU,52.01,-0.00,
GB3PY,70CM,RU72,430.900000,438.500000,AV,JO02AF,CAMBRIDGE,SG8,SE,77.0,M0ZPU,52.22,0.04,
GB3PZ,70CM,RU72,430.900000,438.500000,AV,IO83XL,DUKINFIELD,SK16,NOR,82.5,G4ZPZ,53.47,-2.07,
GB3RB,70CM,RB08,433.200000,434.800000,AV,IO93IF,BOLSOVER,S44,MIDL,71.9,G1SLE,53.23,-1.29,
GB3RC,70CM,RU69,430.862500,438.462500,AV,IO81XW,CHELTENHAM,GL52,SW,103.5,M0URF,51.90,-2.00,
GB3RD,2M,RV54,145.675000,145.075000,AV,IO91JM,READING,RG8,SW,118.8,G8DOR,51.52,-1.20,
GB3RE,70CM,RB11,433.275000,434.875000,AV,JO01HH,MAIDSTONE,ME14,SE,103.5,G6RVS,51.30,0.60,
GB3RF,2M,RV62,145.775000,145.175000,MULTI,IO83TR,ACCRINGTON,BB5,NOR,82.5,M0NFI,53.75,-2.37,
GB3RH,70CM,RB11,433.275000,434.875000,AV,IO80MS,AXMINSTER,EX13,SW,94.8,G6WWY,50.77,-2.96,
GB3RO,70CM,RU66,430.825000,438.425000,AV,IO83UQ,HASLINGDEN,BB4,NOR,82.5,M0LMN,53.71,-2.31,
GB3RR,70CM,RU68,430.850000,438.450000,AV,IO82XL,DUDLEY,B65,MIDL,67.0,G8PYT,52.50,-2.00,
GB3RU,70CM,RB11,433.275000,434.875000,AV,IO91LK,READING,RG30,SW,118.8,G8DOR,51.45,-1.04,
GB3RW,2M,RV48,145.600000,145.000000,AV,IO90SU,WORTHING,BN13,SE,88.5,G4WTV,50.80,-0.40,
GB3SA,70CM,RU77,430.962500,438.562500,AV,IO92RP,STAMFORD,PE,MIDL,82.5,G8IOA,52.63,-0.51,
GB3SC,70CM,RU69,430.862500,438.462500,AV,IO92ES,BURTON-UPON-TRENT,DE15,MIDL,67.0,G8EKG,52.78,-1.62,
GB3SD,70CM,RB14,433.350000,434.950000,AV,IO80SQ,WEYMOUTH,DT3,SW,71.9,G0ECX,50.67,-2.46,
GB3SE,23CM,RM03,1297.075000,1291.075000,AV,IO83WA,STOKE ON TRENT,ST9,MIDL,103.5,G8NSS,53.00,-2.10,
GB3SF,2M,RV50,145.625000,145.025000,MULTI,IO86HK,PERTH,PH2,SCOT,,GM3NFO,56.50,-3.40,
GB3SG,70CM,RU73,430.912500,438.512500,AV,IO81VR,STROUD,GL5,SW,118.8,G1MAW,51.70,-2.20,
GB3SH,2M,RV53,145.662500,145.062500,AV,IO90IV,SOUTHAMPTON,SO19,SW,71.9,G4MYS,50.90,-1.33,
GB3SI,2M,RV50,145.625000,145.025000,AV,IO70JB,HELSTON,TR12,SW,,M1ERD,50.05,-5.24,
GB3SJ,2M,RV55,145.687500,145.087500,AV,IO83RF,NORTHWICH,CW9,NOR,103.5,M0WTX,53.22,-2.52,
GB3SK,70CM,RB06,433.150000,434.750000,AV,JO01MH,CANTERBURY,CT2,SE,103.5,G6DIK,51.30,1.06,
GB3SL,6M,R50-02,50.730000,51.230000,AV,IO75XX,KILSYTH,G65,SCOT,103.5,GM4COX,56.00,-4.04,
GB3SM,70CM,RB13,433.325000,434.925000,AV,IO93BA,STOKE ON TRENT,ST10,MIDL,103.5,G4SCY,53.04,-1.91,
GB3SN,2M,RV58,145.725000,145.125000,AV,IO91LC,ALTON HANTS,GU34,SW,71.9,G4EPX,51.12,-1.04,
GB3SO,70CM,RB0,433.000000,434.600000,MULTI,JO03AR,WITHERNSEA,HU19,NOR,71.9,M0MFP,53.74,0.03,
GB3SP,70CM,RB04,433.100000,434.700000,MULTI,IO71NQ,PEMBROKE,SA70,WM,94.8,GW3XJQ,51.67,-4.83,
GB3SR,70CM,RU73,430.912500,438.512500,AV,JO03CB,SKEGNESS,PE22,MIDL,71.9,G7UVD,53.07,0.19,
GB3SS,2M,RV48,145.600000,145.000000,MULTI,IO87MO,ELGIN MORAY,AB55,SCOT,67,GM4ILS,57.60,-3.00,
GB3ST,70CM,RB09,433.225000,434.825000,AV,IO83WA,STOKE ON TRENT,ST9,MIDL,103.5,G8NSS,53.00,-2.10,
GB3SU,70CM,RB08,433.200000,434.800000,AV,IO90IV,SOUTHAMPTON,SO19,SW,71.9,G4MYS,50.90,-1.33,
GB3SV,2M,RV49,145.612500,145.012500,AV,IO82WS,STAFFORD,ST18,MIDL,94.8,G7PFT,52.77,-2.16,
GB3SW,2M,RV57,145.712500,145.112500,AV,IO80JQ,SIDMOUTH,EX10,SW,77,G6XUV,50.70,-3.20,
GB3SX,6M,R50-08,50.790000,51.290000,AV,IO93BA,STOKE ON TRENT,ST10,MIDL,103.5,G4SCY,53.04,-1.91,
GB3SY,70CM,RB06,433.150000,434.750000,AV,IO93EN,BARNSLEY,HD8,NOR,71.9,G8POK,53.60,-1.70,
GB3TA,2M,RV59,145.737500,145.137500,AV,IO92DP,TAMWORTH,B79,MIDL,67,M0TSD,52.63,-1.70,
GB3TD,70CM,UR63,438.387500,430.787500,AV,IO91DL,SWINDON,SN8,SW,118.8,G4XUT,51.49,-1.70,
GB3TE,2M,RV49,145.612500,145.012500,AV,JO01OU,FRINTON ON SEA,CO16,SE,67,G0MBA,51.85,1.18,
GB3TF,70CM,RB08,433.200000,434.800000,MULTI,IO82RP,TELFORD,TF6,WM,103.5,M0JZH,52.66,-2.52,
GB3TH,70CM,RB15,433.375000,434.975000,MULTI,IO92DP,TAMWORTH,B79,MIDL,67,G8YUQ,52.60,-1.70,
GB3TJ,70CM,RB12,433.300000,434.900000,MULTI,IO85XA,CORBRIDGE,NE19,NOR,118.8,M0TKF,55.03,-2.03,
GB3TP,2M,RV58,145.725000,145.125000,AV,IO93CT,SHIPLEY,BD18,NOR,82.5,G8ZMG,53.83,-1.80,
GB3TR,2M,RV52,145.650000,145.050000,AV,IO80FM,TORQUAY,TQ2,SW,94.8,G8XST,50.50,-3.53,
GB3TS,70CM,RB07,433.175000,434.775000,MULTI,IO94GX,SUNDERLAND,DH5,NOR,118.8,G7MFN,54.85,-1.44,
GB3TU,70CM,RB09,433.225000,434.825000,AV,IO91PS,TRING HERTS,HP23,SW,77,M0ZPU,51.77,-0.69,
GB3TW,2M,RV58,145.725000,145.125000,MULTI,IO94EW,GATESHEAD,NE8,NOR,118.8,M0MNE,54.95,-1.61,
GB3TX,10M,10M,29.650000,29.550000,AV,JO02QP,NORWICH,NR7,SE,94.8,M0ZAH,52.64,1.35,
GB3UB,70CM,RB04,433.100000,434.700000,AV,IO81UJ,BATH AVON,BA2,SW,118.8,G4KVI,51.38,-2.33,
GB3UK,2M,RV49,145.612500,145.012500,MULTI,IO94FV,WASHINGTON,NE37,NOR,10,G1LBU,54.92,-1.50,
GB3UL,70CM,RB02,433.050000,434.650000,AV,IO74CO,BELFAST  N.I.,BT18,NI,110.9,MI1VOX,54.62,-5.82,
GB3UM,6M,R50-03,50.740000,51.240000,AV,IO92IQ,MARKFIELD,LE67,MIDL,77,M1NAS,52.69,-1.28,
GB3UO,70CM,RU76,430.950000,438.550000,MULTI,IO83LA,WREXHAM,LL14,WM,110.9,GW0WZZ,53.00,-3.08,
GB3UP,70CM,RU73,430.912500,438.512500,AV,IO71MX,FISHGUARD,SA65,WM,94.8,GW6TKK,51.99,-4.97,
GB3US,70CM,RB0,433.000000,434.600000,AV,IO93GI,SHEFFIELD,S8,NOR,103.5,M0RFT,53.30,-1.50,
GB3VA,2M,RV56,145.700000,145.100000,AV,IO91LT,BRILL,HP18,SW,118.8,G8GQJ,51.82,-1.05,
GB3VE,70CM,RB04,433.100000,434.700000,DSTAR,IO84SQ,DUFTON,CA16,NOR,77.0,G0TNF,54.68,-2.46,
GB3VH,70CM,RB13,433.325000,434.925000,AV,IO91VT,WELWYN GARDEN CITY,AL8,SE,82.5,G4THF,51.81,-0.22,
GB3VI,6M,R50-15,50.860000,51.360000,AV,IO82XL,DUDLEY,B65,MIDL,67.0,G8PYT,52.50,-2.00,
GB3VM,2M,RV49,145.612500,145.012500,MULTI,IO82QJ,TENBURY WELLS,SY8,WM,103.5,G8XYJ,52.38,-2.60,
GB3VN,70CM,RU74,430.925000,438.525000,MULTI,IO82QI,LUDLOW,SY8,WM,103.5,G4OYX,52.36,-2.60,
GB3VO,2M,RV51,145.637500,145.037500,MULTI,IO83LA,WREXHAM,LL14,WM,110.9,GW0WZZ,53.00,-3.08,
GB3VS,70CM,RB03,433.075000,434.675000,AV,IO80LX,TAUNTON,TA3,SW,94.8,G4UVZ,50.96,-3.08,
GB3VT,2M,RV58,145.725000,145.125000,DSTAR,IO83WA,STOKE ON TRENT,ST9,MIDL,103.5,G8NSS,53.00,-2.10,
GB3VW,70CM,RU65,430.812500,438.412500,AV,JO02NN,WYMONDHAM,NR18,SE,82.5,M0ZAH,52.57,1.11,
GB3WA,70CM,RU70,430.875000,438.475000,AV,IO75OR,DALRY,KA24,SCOT,103.5,GM7GDE,55.73,-4.76,
GB3WB,70CM,RB12,433.300000,434.900000,AV,IO81MH,WESTON-SUPER-MARE,BS24,SW,94.8,G1VSX,51.32,-2.95,
GB3WC,23CM,RM15,1297.375000,1291.375000,AV,IO93EP,WAKEFIELD,WF14,NOR,82.5,G1XCC,53.64,-1.66,
GB3WD,2M,RV56,145.700000,145.100000,AV,IO80AK,IVYBRIDGE,PL21,SW,77,M0ZCP,50.40,-3.90,
GB3WE,2M,RV55,145.687500,145.087500,MULTI,IO81MH,WESTON-SUPER-MARE,BS24,SW,94.8,G4SZM,51.32,-2.95,
GB3WF,70CM,RB14,433.350000,434.950000,MULTI,IO93DV,OTLEY,LS21,NOR,82.5,M0SNW,53.89,-1.69,
GB3WG,70CM,RU70,430.875000,438.475000,MULTI,IO81CP,PORT TALBOT,SA12,WM,94.8,MW0HAC,51.63,-3.76,
GB3WH,2M,RV52,145.650000,145.050000,AV,IO91EM,SWINDON,SN4,SW,118.8,G4LDL,51.53,-1.66,
GB3WI,70CM,RB15,433.375000,434.975000,MULTI,JO02BP,WISBECH,PE13,SE,94.8,M0DUQ,52.70,0.20,
GB3WK,2M,RV62,145.775000,145.175000,AV,IO92FH,LEAMINGTON SPA,CV32,MIDL,67,G6FEO,52.30,-1.51,
GB3WL,70CM,RU76,430.950000,438.550000,MULTI,IO92BJ,WYTHALL,B47,MIDL,67.0,G3YXM,52.38,-1.89,
GB3WM,70CM,RB02,433.050000,434.650000,MULTI,IO92AJ,LONGBRIDGE,B31,MIDL,67,M0JZT,52.40,-1.96,
GB3WN,70CM,UR63,438.387500,430.787500,AV,IO82XP,WOLVERHAMPTON,WV11,MIDL,67.0,G8NDT,52.63,-2.08,
GB3WO,70CM,RU78,430.975000,438.575000,AV,IO90TT,WORTHING,BN11,SE,88.5,M0IAD,50.81,-0.37,
GB3WQ,70CM,RU71,430.887500,438.487500,AV,IO84FN,WHITEHAVEN,CA28,NOR,77.0,G0NIS,54.60,-3.60,
GB3WR,2M,RV48,145.600000,145.000000,AV,IO81PH,CHEDDAR,BS40,SW,94.8,G4RKY,51.31,-2.72,
GB3WS,2M,RV60,145.750000,145.150000,AV,IO91WB,CRAWLEY SUSSEX,RH17,SE,88.5,G4EFO,51.08,-0.16,
GB3WT,2M,RV62,145.775000,145.175000,AV,IO64JQ,OMAGH,BT79,NI,110.9,GI3NVW,54.67,-7.21,
GB3WU,70CM,RU66,430.825000,438.425000,AV,IO82VE,WORCESTER,WR3,WM,118.8,G8TIC,52.20,-2.21,
GB3WW,2M,RV62,145.775000,145.175000,MULTI,IO81CP,PORT TALBOT,SA12,WM,94.8,MW0HAC,51.63,-3.76,
GB3WX,6M,R50-12,50.830000,51.330000,AV,JO02NN,WYMONDHAM,NR18,SE,94.8,M0ZAH,52.57,1.11,
GB3WY,6M,R50-09,50.800000,51.300000,AV,IO93EP,WAKEFIELD,WF14,NOR,82.5,G1XCC,53.64,-1.66,
GB3XD,6M,R50-02,50.730000,51.230000,AV,IO93WH,LOUTH,LN11,MIDL,71.9,G7AJP,53.33,-0.12,
GB3XL,70CM,RU71,430.887500,438.487500,MULTI,IO93CT,SHIPLEY,BD18,NOR,82.5,M0IRK,53.83,-1.76,
GB3XN,70CM,RU74,430.925000,438.525000,AV,IO93KJ,WORKSOP,S81,MIDL,71.9,G3XXN,53.38,-1.12,
GB3XP,2M,RV55,145.687500,145.087500,MULTI,IO91VJ,MORDEN,SM5,SE,82.5,M0SGL,51.38,-0.18,
GB3XS,6M,R50-14,50.850000,51.350000,AV,IO92MG,NORTHAMPTON,NN5,MIDL,77.0,G7SYT,52.26,-0.95,
GB3XV,70CM,DVU-R20,430.250000,439.250000,FUSION,IO92KG,DAVENTRY,NN11,MIDL,,G8KHF,52.27,-1.17,
GB3XX,70CM,RU73,430.912500,438.512500,MULTI,IO92KG,DAVENTRY,NN11,MIDL,77.0,G8KHF,52.27,-1.17,
GB3XZ,23CM,RM1,1297.025000,1291.025000,MULTI,IO92KG,DAVENTRY,NN11,MIDL,77.0,G8KHF,52.27,-1.17,
GB3YA,2M,RV57,145.712500,145.112500,AV,IO81LP,CWMBRAN,NP44,WM,94.8,MW0YAC,51.64,-3.06,
GB3YC,2M,RV60,145.750000,145.150000,AV,IO94SE,FILEY,YO12,NOR,88.5,M0KXQ,54.18,-0.44,
GB3YL,70CM,RB14,433.350000,434.950000,AV,JO02UL,LOWESTOFT,NR32,SE,94.8,G4RKP,52.47,1.74,
GB3YW,2M,RV63,145.787500,145.187500,AV,IO93EP,WAKEFIELD,WF14,NOR,82.5,G1XCC,53.64,-1.66,
GB3ZA,2M,RV59,145.737500,145.137500,MULTI,IO82PB,HEREFORD,HR1,WM,118.8,G0JWJ,52.07,-2.70,
GB3ZB,70CM,RU66,430.825000,438.425000,AV,IO81QJ,BRISTOL,BS41,SW,77,G4RKY,51.40,-2.64,
GB3ZI,70CM,RU78,430.975000,438.575000,MULTI,IO82WT,STAFFORD,ST16,MIDL,103.5,G4YFF,52.80,-2.10,
GB3ZN,2M,RV51,145.637500,145.037500,AV,IO94GX,SOUTH SHIELDS ,NE34,NOR,118.8,M0OMT ,54.99,-1.44,
GB3ZW,6M,R50-10,50.810000,51.310000,AV,IO82HL,NEWTOWN POWYS,SY16,WM,103.5,GW4IQP,52.48,-3.40,
GB3ZX,70CM,RU66,430.825000,438.425000,AV,JO00CT,EASTBOURNE,BN20,SE,88.5,G6ZZX,50.80,0.20,
GB3ZY,6M,R50-09,50.800000,51.300000,AV,IO81QJ,BRISTOL,BS41,SW,77,G4RKY,51.40,-2.64,
GB7AA,70CM,DVU54,439.675000,430.675000,DMR,IO81RO,BRISTOL,BS35,SW,1,G4CJZ,51.59,-2.54,
GB7AB,70CM,DVU53,439.662500,430.662500,FUSION,IO87VD,ABERDEEN,AB16,SCOT,,GM7KBK,57.15,-2.17,
GB7AC,70CM,RU76,430.950000,438.550000,MULTI,IO87NU,LARGS,PA17,SCOT,3,GM7RYR,55.80,-4.90,
GB7AD,70CM,DVU61,439.762500,430.762500,DSTAR,IO81RO,BRISTOL,BS35,SW,,G4CJZ,51.59,-2.54,
GB7AE,70CM,DVU34,439.425000,430.425000,DSTAR,IO91CJ,MARLBOROUGH,SN8,SW,3,M1CJE,51.42,-1.76,
GB7AG,70CM,RU72,430.900000,438.500000,MULTI,IO86NR,FORFAR,DD8,SCOT,94.8,GM1TCN,56.70,-2.90,
GB7AL,70CM,DVU32,439.400000,430.400000,DMR,JO02RD,IPSWICH,IP12,SE,2,M1NIZ,52.14,1.45,
GB7AM,2M,RV53,145.662500,145.062500,MULTI,IO83WI,HIGHER POYNTON,SK12,NOR,,G1DVA,53.35,-2.09,
GB7AN,70CM,DVU37,439.462500,430.462500,FUSION,IO83TS,ACCRINGTON ,BB5,NOR,,M0NFI,53.77,-2.39,
GB7AR,70CM,DVU42,439.525000,430.525000,MULTI,JO01DI,NEW ASH GREEN,TN15,SE,15,G6VBJ,51.40,0.30,
GB7AS,70CM,DVU34,439.425000,430.425000,DMR,JO01KD,ASHFORD,TN23,SE,3,M1CMN,51.12,0.86,
GB7AU,70CM,DVU56,439.700000,430.700000,MULTI,IO91GP,AMERSHAM,HP7,SW,,M0ZPU,51.65,-0.62,
GB7AV,70CM,DVU35,439.437500,430.437500,DMR,IO91OT,AYLESBURY,HP20,SW,3,G0RAS,51.81,-0.81,
GB7AY,70CM,DVU36,439.450000,430.450000,MULTI,IO75TQ,KILMARNOCK,KA3,SCOT,1,GM0ONX,55.67,-4.40,
GB7BA,70CM,DVU61,439.762500,430.762500,DMR,IO93CS,BRADFORD,BD6,NOR,13,G1XCC,53.77,-1.77,
GB7BB,70CM,DVU57,439.712500,430.712500,MULTI,IO87QP,BANFF,AB45,SCOT,1,MM0BUH,57.66,-2.60,
GB7BC,70CM,DVU52,439.650000,430.650000,MULTI,IO90WT,BRIGHTON,BN2,SE,3,G7TXU,50.80,-0.10,
GB7BD,70CM,RU76,430.950000,438.550000,DMR,IO81QJ,BRISTOL,BS41,SW,3,G4RKY,51.40,-2.64,
GB7BE,70CM,DVU53,439.662500,430.662500,DSTAR,JO02TK,BECCLES,NR34,SE,,M0JGX,52.44,1.60,
GB7BF,70CM,DVU-R24,430.300000,439.300000,MULTI,IO83LU,BLACKPOOL,FY2,NOR,5,M0DKR,53.86,-3.05,
GB7BH,70CM,DVU46,439.575000,430.575000,MULTI,IO90WU,BRIGHTON,BN2,SE,4,G7TXU,50.84,-0.09,
GB7BI,70CM,DVU53,439.662500,430.662500,DMR,IO77RM,MUIR OF ORD,IV6,SCOT,1,GM0UDL,57.51,-4.54,
GB7BJ,70CM,DVU59,439.737500,430.737500,DMR,IO82TC,MALVERN,WR14,WM,13,G3PWJ,52.10,-2.30,
GB7BK,70CM,DVU59,439.737500,430.737500,DMR,IO91JM,READING,RG8,SW,3,G8DOR,51.52,-1.20,
GB7BL,70CM,DVU54,439.675000,430.675000,MULTI,IO84VV,ALLENDALE,NE47,NOR,5,M0UKB,54.90,-2.25,
GB7BM,70CM,DVU32,439.400000,430.400000,MULTI,IO92BL,BIRMINGHAM,B16,MIDL,3,G8VIQ,52.47,-1.92,
GB7BN,70CM,DVU47,439.587500,430.587500,MULTI,IO90PT,BOGNOR REGIS,PO22,SE,3,G0TJH,50.81,-0.69,
GB7BP,70CM,DVU36,439.450000,430.450000,DSTAR,IO91PX,MILTON KEYNES,MK3,SW,,M1ACB,52.00,-0.74,
GB7BR,70CM,RU74,430.925000,438.525000,DMR,IO74TI,RAMSEY IOM,IM7,NOR,3,GD4HOZ,54.36,-4.39,
GB7BS,70CM,DVU13,439.162500,430.162500,DMR,IO81TK,BRISTOL,BA1,SW,3,G4SDR,51.43,-2.41,
GB7BX,70CM,DVU35,439.437500,430.437500,DMR,IO82QL,CLEOBURY NORTH,SY7,WM,11,G4VZO,52.50,-2.60,
GB7BZ,70CM,DVU33,439.412500,430.412500,DSTAR,IO92QF,BOZEAT,NN29,MIDL,,M5WOB,52.23,-0.65,
GB7CA,70CM,RU74,430.925000,438.525000,DMR,IO74SD,DOUGLAS,IM4,NOR,2,GD4HOZ,54.14,-4.49,
GB7CB,70CM,DVU57,439.712500,430.712500,DMR,IO85DU,BATHGATE,EH47,SCOT,4,GM7RYR,55.80,-3.70,
GB7CC,70CM,DVU-R22,430.275000,439.275000,DMR,IO81XW,CHELTENHAM,GL52,SW,2,G8WVW,51.90,-2.00,
GB7CD,70CM,DVU56,439.700000,430.700000,DSTAR,IO81JL,CARDIFF,CF10,WM,,GW6CUR,51.47,-3.16,
GB7CE,70CM,DVU49,439.612500,430.612500,FUSION,JO01NT,GREAT CLACTON,CO16,SE,,G0DZZ,51.81,1.14,
GB7CF,70CM,DVU50,439.625000,430.625000,DMR,IO90LW,CLANFIELD,PO8,SW,3,M0PPR,50.94,-1.02,
GB7CG,2M,RV57,145.712500,145.112500,MULTI,IO92QA,WOBURN SANDS,MK17,SW,77.0,G0WTZ,52.02,-0.65,
GB7CK,70CM,DVU59,439.737500,430.737500,DMR,JO01OC,FOLKESTONE,CT18,SE,3,M1CMN,51.10,1.20,
